area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,parent_url,hierarchy,url
Africa,-4.10232006353,15.90518938079,26577,{},"{""Trad"": {""count"": 15, ""pct"": ""36.6%""}, ""Sport"": {""count"": 18, ""pct"": ""43.9%""}, ""Ice"": {""count"": 1, ""pct"": ""2.4%""}, ""Bouldering"": {""count"": 7, ""pct"": ""17.1%""}}","38.6765988,-27.6581187,-41.1761476,63.9678578",0,0,,,https://www.thecrag.com/en/climbing/africa
Antarctica,-72.7881206,58.8523865,22,"{""5.3"": 1, ""5.5"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}","{""Alpine"": {""count"": 1, ""pct"": ""50.0%""}, ""Trad"": {""count"": 1, ""pct"": ""50.0%""}}","-60.7346649,-61.4630127,-84.8415763,179.1677857",0,0,,,https://www.thecrag.com/en/climbing/antarctica
Asia,19.3728425,76.50211705,39560,"{""5.0"": 1, ""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1, ""5.14c"": 1, ""5.15a"": 1, ""5.15c"": 1}","{""Trad"": {""count"": 7, ""pct"": ""17.5%""}, ""Sport"": {""count"": 21, ""pct"": ""52.5%""}, ""Bouldering"": {""count"": 12, ""pct"": ""30.0%""}}","55.505385,1,-16.7597,152.0042341",0,0,,,https://www.thecrag.com/en/climbing/asia
Arctic Region,72.08140705,-26.4468395,76,"{""5.3"": 1, ""5.5"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1}","{""Alpine"": {""count"": 1, ""pct"": ""33.3%""}, ""Trad"": {""count"": 1, ""pct"": ""33.3%""}, ""Bouldering"": {""count"": 1, ""pct"": ""33.3%""}}","85.031951,-75.2178977,59.1308631,22.3242187",0,0,,,https://www.thecrag.com/en/climbing/arctic-region
Central America,18.98363575,-76.1476481,1776,"{""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1, ""5.14c"": 1}","{""Sport"": {""count"": 8, ""pct"": ""88.9%""}, ""Trad"": {""count"": 1, ""pct"": ""11.1%""}}","27.5993352,-92.3895453,7.0078766,-59.2498106",0,0,,,https://www.thecrag.com/en/climbing/central-america
Europe,54.69235205,71.92564005,936703,{},"{""Sport"": {""count"": 32, ""pct"": ""47.8%""}, ""Bouldering"": {""count"": 23, ""pct"": ""34.3%""}, ""Trad"": {""count"": 12, ""pct"": ""17.9%""}}","81.9597988,-33.9117516,27.4249053,177.7630317",0,0,,,https://www.thecrag.com/en/climbing/europe
Middle East,28.60866916405,46.46752598528,9820,"{""5.0"": 1, ""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1, ""5.14c"": 1, ""5.15a"": 1}","{""Sport"": {""count"": 14, ""pct"": ""73.7%""}, ""Bouldering"": {""count"": 3, ""pct"": ""15.8%""}, ""Trad"": {""count"": 2, ""pct"": ""10.5%""}}","43.579627,23.714,11.3881,63.3527",0,0,,,https://www.thecrag.com/en/climbing/middle-east
North America,44.78846475,-34.74917675,231993,"{""5.0"": 1, ""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1, ""5.14c"": 1, ""5.15a"": 1, ""5.15c"": 1}","{""Bouldering"": {""count"": 3, ""pct"": ""50.0%""}, ""Sport"": {""count"": 3, ""pct"": ""50.0%""}}","78.252,-169.8652125,11.3249295,100.366859",0,0,,,https://www.thecrag.com/en/climbing/north-america
Oceania,-5.23709635,-0.0235209,128975,{},"{""Bouldering"": {""count"": 2, ""pct"": ""28.6%""}, ""Trad"": {""count"": 1, ""pct"": ""14.3%""}, ""Sport"": {""count"": 4, ""pct"": ""57.1%""}}","37.137854,-179.9883336,-47.6120467,179.9412918",0,0,,,https://www.thecrag.com/en/climbing/oceania
South America,-22.79902775,-8.12748526,34181,"{""5.0"": 1, ""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1, ""5.14c"": 1, ""5.15a"": 1, ""5.15c"": 1}","{""Sport"": {""count"": 11, ""pct"": ""73.3%""}, ""Bouldering"": {""count"": 2, ""pct"": ""13.3%""}, ""Trad"": {""count"": 2, ""pct"": ""13.3%""}}","13.1002445,-85.0506594,-58.6983,68.79568889",0,0,,,https://www.thecrag.com/en/climbing/south-america
