name,grade,type,bolts,length,pitches,first_ascent,url,area_url
Lumpy Faced Russians,5A,boulder,,,,,https://www.thecrag.com/en/climbing/south-africa/rocklands/route/18556771,https://www.thecrag.com/en/climbing/south-africa/rocklands/area/16410913
What's Up,V3,boulder,,,,Oli,https://www.thecrag.com/en/climbing/east-timor/route/2648689818,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Revolução,V4,boulder,,,,Oli,https://www.thecrag.com/en/climbing/east-timor/route/2648715618,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Plattengrüße,V3,boulder,,,,Oli,https://www.thecrag.com/en/climbing/east-timor/route/2648734143,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Alter Weg,V1,boulder,,,,Oli,https://www.thecrag.com/en/climbing/east-timor/route/2648742792,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Atanasoff Nunatak Southwest Wall,3,unknown,,260m,,,https://www.thecrag.com/en/climbing/antarctica/livingston-island/route/16335067,https://www.thecrag.com/en/climbing/antarctica/livingston-island/area/14263183
나그네,5.10a,sport,10,25m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9677983131,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
사선슬랩,5.10b,sport,7,15m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025353,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
전진,5.11a,sport,8,16m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025467,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
중앙 기존길,5.10b,sport,8,16m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025581,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
아가씨,5.10b,sport,8,17m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025668,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
상납,5.10a,sport,10,18m,1,Jun jinteak,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025782,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
하단 2 피치,5.9,sport,13,40m,2,2004,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025881,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
