Unnamed: 0,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity
16,1492,352,13950000,93,0,5,10.57,150000.0,93,879.8486281929991
45,1492,485,600000,4,0,3,2.9,150000.0,4,137.93103448275863
140,1492,168,640000,8,0,3,3.42,80000.0,8,233.9181286549708
146,1492,214,400000,8,0,4,1.39,50000.0,8,575.5395683453237
183,1492,210,480000,6,0,2,12.5,80000.0,6,48.0
185,1492,428,350000,5,0,2,1.67,70000.0,5,299.40119760479035
212,1492,344,900000,6,0,3,6.67,150000.0,6,89.95502248875563
233,1492,210,800000,10,0,2,20.83,80000.0,10,48.007681228996645
234,1492,243,660000,11,0,2,2.94,60000.0,11,374.1496598639456
243,1492,56,1280000,16,0,4,5.13,80000.0,16,311.89083820662773
244,1492,210,960000,12,0,2,25.0,80000.0,12,48.0
256,1492,201,770000,11,0,2,1.74,70000.0,11,632.183908045977
284,1492,201,910000,13,0,2,2.05,70000.0,13,634.1463414634146
296,1492,489,600000,4,0,3,3.17,150000.0,4,126.18296529968454
327,1492,304,300000,5,0,1,3.4,60000.0,5,147.05882352941177
334,1492,39,1500000,30,0,3,5.81,50000.0,30,516.3511187607573
387,1492,243,390000,13,0,2,3.48,30000.0,13,373.5632183908046
403,1492,450,800000,12,0,1,11.32,66666.66666666669,12,106.0070671378092
416,1492,352,2800000,35,0,4,5.09,80000.0,35,687.6227897838901
450,1492,210,960000,12,0,2,25.0,80000.0,12,48.0
468,1492,352,1840000,24,0,3,4.7,76666.66666666669,24,510.6382978723404
496,1492,210,240000,3,0,2,6.25,80000.0,3,48.0
500,1492,56,2440000,61,0,3,26.07,40000.0,61,233.9854238588416
516,1492,210,1520000,19,0,2,39.58,80000.0,19,48.00404244567964
554,1492,163,4920000,47,0,3,36.15,104680.8510638298,47,130.01383125864453
568,1492,204,700000,10,0,8,0.41,70000.0,10,2439.0243902439024
573,1492,457,60000,2,0,3,0.22,30000.0,2,909.0909090909092
579,1492,56,2680000,67,0,3,28.63,40000.0,67,234.02025847013616
592,1492,457,360000,12,0,4,0.97,30000.0,12,1237.1134020618558
614,1492,537,325000,13,0,1,5.53,25000.0,13,235.08137432188065
637,1492,304,5040000,63,0,3,14.29,80000.0,63,440.8677396780968
641,1492,448,1670000,13,0,2,3.55,128461.53846153848,13,366.1971830985916
653,1492,489,3680000,46,0,3,36.51,80000.0,46,125.9928786633799
725,1492,165,720000,13,0,3,7.22,55384.61538461538,13,180.05540166204986
734,1492,344,7680000,96,0,3,29.72,80000.0,96,323.01480484522205
756,1492,82,80000,2,0,6,0.21,40000.0,2,952.3809523809524
759,1492,448,3090000,38,0,3,6.67,81315.78947368421,38,569.7151424287856
784,1492,524,1380000,12,0,3,13.33,115000.0,12,90.0225056264066
786,1492,429,1200000,12,0,1,11.01,100000.0,12,108.99182561307906
789,1492,51,1100000,19,0,2,1.64,57894.73684210527,19,1158.5365853658534
809,1492,513,840000,14,0,1,5.65,60000.0,14,247.787610619469
818,1492,485,160000,2,0,1,4.35,80000.0,2,45.977011494252885
830,1492,191,2400000,48,0,3,3.04,50000.0,48,1578.9473684210525
831,1492,210,2080000,26,0,4,18.44,80000.0,26,140.997830802603
833,1492,529,1500000,25,2,3,18.25,60000.0,23,136.986301369863
899,1492,429,2450000,49,0,1,44.95,50000.0,49,109.01001112347048
941,1492,71,1950000,13,0,3,1.81,150000.0,13,718.232044198895
959,1492,344,1800000,12,0,3,13.33,150000.0,12,90.0225056264066
1011,1492,266,1800000,12,0,3,2.49,150000.0,12,481.9277108433735
1054,1492,524,1760000,22,0,3,24.44,80000.0,22,90.01636661211128
1101,1567,429,1680000,14,0,4,3.21,120000.0,14,436.1370716510904
1105,1567,210,900000,9,0,3,12.5,100000.0,9,72.0
1115,1567,445,240000,2,0,3,0.62,120000.0,2,322.5806451612904
1142,1567,210,1000000,10,0,3,13.89,100000.0,10,71.99424046076314
1147,1567,71,600000,4,0,1,1.1,150000.0,4,363.6363636363636
1148,1567,429,480000,4,0,4,0.92,120000.0,4,434.7826086956521
1156,1567,304,3150000,25,0,3,5.67,126000.0,25,440.9171075837744
1165,1567,350,800000,8,0,3,1.2,100000.0,8,666.6666666666667
1178,1567,489,1950000,13,0,3,10.32,150000.0,13,125.96899224806202
1187,1567,56,500000,5,0,2,0.72,100000.0,5,694.4444444444445
1228,1567,72,540000,9,0,1,8.91,60000.0,9,101.010101010101
1244,1567,448,450000,3,0,1,1.58,150000.0,3,189.87341772151905
1267,1567,71,150000,1,0,1,0.27,150000.0,1,370.3703703703703
1278,1567,429,1440000,12,0,1,11.01,120000.0,12,108.99182561307906
1300,1567,448,160000,2,0,1,1.05,80000.0,2,190.47619047619045
1330,1567,518,660000,11,0,4,6.18,60000.0,11,177.99352750809064
1343,1567,489,1000000,7,0,3,9.33,142857.14285714287,7,75.02679528403002
1365,1567,445,240000,2,0,3,0.62,120000.0,2,322.5806451612904
1395,1497,72,2280000,19,0,6,3.66,120000.0,19,519.1256830601093
1400,1497,487,1300000,13,0,5,1.06,100000.0,13,1226.4150943396226
1402,1497,88,900000,9,0,5,0.3,100000.0,9,3000.0
1409,1497,304,111600000,748,0,8,55.0,149197.86096256686,748,1360.0
1453,1497,352,21150000,141,0,5,27.12,150000.0,141,519.9115044247786
1464,1497,89,9300000,62,0,4,11.07,150000.0,62,560.0722673893405
1466,1497,34,8040000,67,0,3,9.71,120000.0,67,690.010298661174
1497,1497,34,11040000,92,0,3,13.33,120000.0,92,690.1725431357838
1525,1497,489,7200000,48,0,14,6.12,150000.0,48,784.313725490196
1572,1497,452,10050000,67,0,2,47.86,150000.0,67,139.99164229001252
1579,1497,524,1800000,12,0,1,41.38,150000.0,12,28.99951667472209
1594,1497,518,120000,2,0,3,0.89,60000.0,2,224.71910112359555
1615,1497,492,960000,24,0,1,11.54,40000.0,24,207.97227036395148
1623,1497,142,800000,9,0,5,5.0,88888.88888888889,9,180.0
1645,1497,299,600000,20,0,1,4.28,30000.0,20,467.2897196261682
1654,1497,142,900000,9,0,6,4.17,100000.0,9,215.8273381294964
1667,1497,556,720000,6,0,1,7.14,120000.0,6,84.03361344537817
1680,1497,452,1500000,10,0,3,4.76,150000.0,10,210.0840336134454
1701,1497,531,420000,7,0,1,8.54,60000.0,7,81.96721311475413
1731,1497,468,1130000,18,0,2,6.12,62777.777777777774,18,294.11764705882354
1748,1497,142,4600000,92,0,6,42.59,50000.0,92,216.0131486264381
1764,1497,304,5250000,35,0,3,7.94,150000.0,35,440.80604534005033
1773,1497,115,600000,6,0,4,1.08,100000.0,6,555.5555555555555
1791,1497,492,660000,11,0,1,5.29,60000.0,11,207.93950850661625
1809,1497,556,3240000,27,0,1,27.55,120000.0,27,98.00362976406534
1818,1497,480,1120000,16,0,1,14.55,70000.0,16,109.9656357388316
1879,1497,165,320000,4,0,1,6.67,80000.0,4,59.97001499250375
1883,1497,381,300000,5,0,2,1.47,60000.0,5,340.13605442176873
1898,1497,513,5460000,91,0,1,36.69,60000.0,91,248.0239847369856
1901,1497,430,4600000,92,0,2,44.66,50000.0,92,206.00089565606808
1902,1497,414,4520000,113,0,1,78.47,40000.0,113,144.00407799158913
1916,1497,425,1500000,50,0,1,12.5,30000.0,50,400.0
1941,1497,172,3760000,47,0,4,13.06,80000.0,47,359.87748851454825
1955,1497,243,720000,12,0,4,1.6,60000.0,12,750.0
2026,1497,196,2840000,36,0,1,60.0,78888.88888888889,36,60.0
2160,1497,381,150000,5,0,4,0.74,30000.0,5,675.6756756756757
2171,1497,474,3120000,39,0,2,61.9,80000.0,39,63.0048465266559
2199,1497,165,800000,10,0,1,7.69,80000.0,10,130.03901170351105
2211,1497,506,320000,4,0,1,1.0,80000.0,4,400.0
2212,1497,251,300000,5,0,2,3.33,60000.0,5,150.15015015015015
2220,1497,535,14920000,373,0,8,44.4,40000.0,373,840.09009009009
2251,1497,522,2560000,32,3,3,11.23,80000.0,29,284.95102404274263
2260,1497,472,1785000,51,0,1,17.71,35000.0,51,287.9728966685488
2262,1497,380,1750000,35,0,1,35.0,50000.0,35,100.0
2265,1497,486,1675000,67,0,3,7.98,25000.0,67,839.5989974937345
2278,1497,466,840000,28,0,4,4.09,30000.0,28,684.596577017115
2292,1497,300,240000,6,0,2,0.92,40000.0,6,652.1739130434783
2295,1497,98,7700000,77,0,6,6.94,100000.0,77,1109.5100864553312
2316,1497,142,800000,8,0,6,2.72,100000.0,8,294.11764705882354
2331,1497,262,300000,3,0,3,0.62,100000.0,3,483.8709677419355
2373,1497,467,1100000,22,0,2,2.75,50000.0,22,800.0
2396,1497,168,320000,4,0,2,1.48,80000.0,4,270.27027027027026
2451,1497,300,720000,9,0,2,1.38,80000.0,9,652.1739130434784
2455,1497,222,640000,8,0,3,2.78,80000.0,8,287.76978417266184
2527,1497,516,880000,11,0,1,9.4,80000.0,11,117.02127659574468
2537,1497,454,500000,10,0,1,3.33,50000.0,10,300.3003003003003
2545,1497,448,55480000,372,0,6,31.63,149139.78494623656,372,1176.0986405311414
